"","N_lambda","N_mu","N_both","N_lambda_ratio","N_mu_ratio","N_both_ratio","N_sum","type","tree_index","ntip"
"103",2.4263236423348e-06,3.37038582968243e-06,1.35530721408314e-05,0.125392817907757,0.174182112083602,0.700425070008641,1.93497816128487e-05,"estimate, all pooled",106,315
"104",0.193721257757283,0.233645786719006,1.00521681699504,0.135225073356838,0.163093968180711,0.701680958462451,1.43258386147133,"estimate, all pooled",107,195
"105",0.00067142021234214,0.000654362090925443,0.00305448856781101,0.153282806498405,0.149388499064286,0.697328694437309,0.00438027087107859,"estimate, all pooled",108,639
"106",0.185711611766989,0.334587320428695,1.76045214522219,0.0814256380741207,0.14670049868287,0.771873863243009,2.28075107741788,"estimate, all pooled",109,257
"107",5.52352709343664e-06,7.3769031419975e-06,3.44874859893226e-05,0.116559822281255,0.155670553375031,0.727769624343714,4.73879162247568e-05,"estimate, all pooled",110,770
"108",0.0131898201733726,0.0145456241003562,0.0642626662770718,0.143370555051664,0.158107856925216,0.69852158802312,0.0919981105508006,"estimate, all pooled",111,188
"109",0.000693150693441197,0.000416776923767139,0.002252600529773,0.206139744603614,0.12394748996861,0.669912765427776,0.00336252814698134,"estimate, all pooled",112,407
"110",0.000155927843799946,8.8451310934686e-05,0.000503539062226594,0.208482478784214,0.118263346083562,0.673254175132224,0.000747918216961225,"estimate, all pooled",113,571
"111",1.53287806585543e-06,1.83410132615392e-06,7.86670488834348e-06,0.136453725029139,0.163268014338063,0.700278260632797,1.12336842803528e-05,"estimate, all pooled",114,200
"112",2.09190864601113,2.15483313572556,9.70149686861282,0.149976545315183,0.154487831026003,0.695535623658814,13.9482386503495,"estimate, all pooled",115,739
"113",1.02201048415896e-05,1.29673828729602e-05,5.75724232562781e-05,0.12654923363253,0.160567077366446,0.712883689001024,8.07599109708279e-05,"estimate, all pooled",116,1391
"114",0.342808232149,0.570669645156349,2.88832273190705,0.0901699661256085,0.150105095930997,0.759724937943395,3.8018006092124,"estimate, all pooled",117,260
"115",1.61538427939294e-06,1.67288356174545e-06,7.76013227523645e-06,0.146209791678234,0.15141410015248,0.702376108169286,1.10484001163748e-05,"estimate, all pooled",118,188
"116",1.70017902848195e-06,3.11210930421469e-06,1.34669227113e-05,0.093011619833578,0.170254027743544,0.736734352422878,1.82792110439966e-05,"estimate, all pooled",119,244
"117",4.39018164703496,5.0674460319622,23.2564126832897,0.134198698736583,0.154901258781964,0.710900042481453,32.7140403622868,"estimate, all pooled",120,2898
"118",5.52235704457184e-06,9.22001720388438e-06,4.55233236379645e-05,0.0916335036056416,0.152989470415838,0.755377025978521,6.02656978864208e-05,"estimate, all pooled",121,866
"119",0.000146028214301634,0.0001505724416653,0.000663200010642815,0.152144314316265,0.156878867564407,0.690976818119328,0.00095980066660975,"estimate, all pooled",122,728
"120",0.000837600718203977,0.000877280208734575,0.00377906137854393,0.152458957817617,0.159681365393867,0.687859676788515,0.00549394230548248,"estimate, all pooled",123,401
"121",0.00143537856315658,0.00085204081855113,0.00461670134728308,0.207901718336029,0.123410474989721,0.668687806674251,0.00690412072899079,"estimate, all pooled",124,279
"122",2.34723556669741,2.03408430523033,9.40899432055037,0.17020899842715,0.147500939923458,0.682290061649392,13.7903141924781,"estimate, all pooled",125,2791
"123",1.17802639102221,1.44936731164119,6.32016377531221,0.131658991174063,0.161984688582197,0.70635632024374,8.94755747797561,"estimate, all pooled",126,819
"124",3.99880567394175,3.85890705544337,17.1720526399884,0.159762011945773,0.154172721897152,0.686065266157075,25.0297653693735,"estimate, all pooled",127,782
"125",0.000859950720369941,0.000815535245367193,0.00372170695781382,0.159332959290282,0.151103593464032,0.689563447245686,0.00539719292355095,"estimate, all pooled",128,218
"126",0.0445578584565775,0.0454373797569363,0.195786056042153,0.155915937649562,0.158993540410965,0.685090521939473,0.285781294255667,"estimate, all pooled",129,80
"127",0.000436413339761677,0.000471172795782484,0.00198185127690407,0.151037478050754,0.163067313295171,0.685895208654075,0.00288943741244823,"estimate, all pooled",130,424
"128",0.120587418069861,0.127757029095192,0.559253050341131,0.149316235429441,0.158193938799586,0.692489825770973,0.807597497506184,"estimate, all pooled",131,154
"129",0.719526420351909,0.609045614844776,2.77773782584799,0.17522457990271,0.148319448715405,0.676455971381885,4.10630986104467,"estimate, all pooled",132,725
"130",3.35352788652416e-06,6.03625253225958e-06,2.64769616292955e-05,0.0934996516279278,0.168296649976404,0.738203698395668,3.58667420480792e-05,"estimate, all pooled",133,540
"131",0.000861358227953135,0.000886524863885616,0.00386954957623863,0.153336635941903,0.157816731640334,0.688846632417762,0.00561743266807738,"estimate, all pooled",134,474
"132",0.465220234636919,0.458564322138358,2.00722448961479,0.158723575148941,0.156452714706951,0.684823710144108,2.93100904639007,"estimate, all pooled",135,106
"133",0.00358939091794015,0.00366589983214733,0.0174768419277551,0.145130667245525,0.148224169743016,0.706645163011459,0.0247321326778426,"estimate, all pooled",136,150
"134",0.0017225459516353,0.00188401716538599,0.00793324752499527,0.149269862831501,0.163262398650309,0.68746773851819,0.0115398106420166,"estimate, all pooled",137,124
"135",0.999209982252978,0.981430069491513,4.40876765084358,0.156385384806207,0.153602667911453,0.690011947282341,6.38940770258808,"estimate, all pooled",138,1279
"136",3.80792746031412e-06,6.81266264495468e-06,3.70307737448429e-05,0.0799122449525691,0.142968891013992,0.777118864033439,4.76513638501117e-05,"estimate, all pooled",139,579
"137",5.52389509661153,5.42425292095828,24.2767859822779,0.156817755758901,0.1539890158767,0.689193228364399,35.2249339998477,"estimate, all pooled",140,293
"138",3.35576752159234e-06,3.35314098595056e-06,1.5135268747533e-05,0.153622976155468,0.15350273653229,0.692874287312241,2.18441772550759e-05,"estimate, all pooled",141,384
"139",1.13603362156365,1.13169542883062,5.11078737209853,0.153965046157592,0.153377096970434,0.692657856871974,7.3785164224928,"estimate, all pooled",142,506
"140",3.22077671689622e-06,3.67804830197612e-06,1.79165017275774e-05,0.129789816987077,0.148216799220761,0.721993383792162,2.48153267464497e-05,"estimate, all pooled",143,397
"141",3.08375274697107e-06,3.44695845500779e-06,1.43367225340932e-05,0.147778245565501,0.165183630081416,0.687038124353083,2.0867433736072e-05,"estimate, all pooled",144,412
"142",0.00144000726995831,0.00139720027040035,0.00632805663812647,0.157115740683028,0.152445171594747,0.690439087722225,0.00916526417848513,"estimate, all pooled",145,279
"143",3.27216441045199,2.8341616329587,12.7725879996736,0.173323762319403,0.150123128188981,0.676553109491616,18.8789140430843,"estimate, all pooled",146,1060
"144",6.72568710273625,6.09591363616106,27.5848869751448,0.166450673721857,0.150864724479445,0.682684601798697,40.4064877140421,"estimate, all pooled",147,984
"145",0.0206831201470435,0.0203047669847683,0.0942923225691148,0.152890952732621,0.150094141853102,0.697014905414276,0.135280209700926,"estimate, all pooled",148,380
